2026-02-02 16:42:09 | INFO     | src.core.ws_client:disconnect:69 - 已断开连接: 正经机器人服务
2026-02-02 16:42:11 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:42:12 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:13 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
2026-02-02 16:42:14 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:14 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:42:14 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:42:15 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:15 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:15 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:16 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:42:16 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:42:19 | INFO     | src.config:save:178 - 配置保存成功: config/config.yaml
2026-02-02 16:42:19 | INFO     | src.core.router:load_from_config:81 - 已加载 2 个分类, 2 个指令集
2026-02-02 16:42:19 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:42:19 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:42:20 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:20 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:21 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
2026-02-02 16:42:21 | INFO     | src.config:save:178 - 配置保存成功: config/config.yaml
2026-02-02 16:42:21 | INFO     | src.core.router:load_from_config:81 - 已加载 2 个分类, 1 个指令集
2026-02-02 16:42:23 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:23 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:23 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:23 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:23 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:23 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
